sample_id,method,line_symbol,energy_keV,cts_per_s,error
JPL94,pellet,Pb_Lb2,12.621,29.154,0.848
JPL94,pellet,Pb_Lb3,12.793,7.968,0.232
JPL94,pellet,Pb_Lb4,12.306,6.009,0.175
JPL94,pellet,Pb_Lg1,14.764,15.844,0.461
JPL94,pellet,Pb_Ll,9.184,3.551,0.103
,,,,,
JPL94,powder,Pb_La1,10.55,76.208,5.729
JPL94,powder,Pb_La2,10.449,8.391,0.631
JPL94,powder,Pb_Lb1,12.613,55.733,4.19
JPL94,powder,Pb_Lb2,12.621,26.233,1.972
JPL94,powder,Pb_Lb3,12.793,7.168,0.539
JPL94,powder,Pb_Lb4,12.306,5.408,0.407
JPL94,powder,Pb_Lg1,14.764,14.245,1.071
JPL94,powder,Pb_Ll,9.184,3.21,0.241
,,,,,
JPL89,pellet,Pb_La1,10.55,106.989,2.551
JPL89,pellet,Pb_La2,10.449,11.777,0.281
JPL89,pellet,Pb_Lb1,12.613,78.562,1.873
JPL89,pellet,Pb_Lb2,12.621,36.979,0.882
JPL89,pellet,Pb_Lb3,12.793,10.107,0.241
JPL89,pellet,Pb_Lb4,12.306,7.62,0.182
JPL89,pellet,Pb_Lg1,14.764,20.111,0.48
JPL89,pellet,Pb_Ll,9.184,4.478,0.107
,,,,,
JPL89,powder,Pb_La1,10.55,99.286,5.585
JPL89,powder,Pb_La2,10.449,10.932,0.615
JPL89,powder,Pb_Lb1,12.613,72.599,4.084
JPL89,powder,Pb_Lb2,12.621,34.172,1.922
JPL89,powder,Pb_Lb3,12.793,9.338,0.525
JPL89,powder,Pb_Lb4,12.306,7.045,0.396
JPL89,powder,Pb_Lg1,14.764,18.546,1.043
JPL89,powder,Pb_Ll,9.184,4.193,0.236
1590,powder,Pb_La1,10.55,98.933,2.339
1590,powder,Pb_La2,10.449,10.893,0.257
1590,powder,Pb_Lb1,12.613,72.377,1.711
1590,powder,Pb_Lb2,12.621,34.067,0.805
1590,powder,Pb_Lb3,12.793,9.309,0.22
1590,powder,Pb_Lb4,12.306,7.023,0.166
1590,powder,Pb_Lg1,14.764,18.495,0.437
1590,powder,Pb_Ll,9.184,4.154,0.098
,,,,,
XPAH26,pellet,Pb_La1,10.55,65.208,2.308
XPAH26,pellet,Pb_La2,10.449,7.182,0.254
XPAH26,pellet,Pb_Lb1,12.613,47.407,1.678
XPAH26,pellet,Pb_Lb2,12.621,22.313,0.79
XPAH26,pellet,Pb_Lb3,12.793,6.095,0.216
XPAH26,pellet,Pb_Lb4,12.306,4.603,0.163
XPAH26,pellet,Pb_Lg1,14.764,12.032,0.426
XPAH26,pellet,Pb_Ll,9.184,3.539,0.125
,,,,,
XPAH26,powder,Pb_La1,10.55,38.164,2.808
XPAH26,powder,Pb_La2,10.449,4.204,0.308
