site,longitude,latitude,elev_dem,distance_m
COLUMNA_4_CICRA,-70.098087,-12.569049,275.0,408.2
COLUMNA_4_CICRA,-70.097856,-12.569049,274.0,433.2
COLUMNA_4_CICRA,-70.097626,-12.569049,272.0,458.2
COLUMNA_4_CICRA,-70.097395,-12.569049,272.0,483.2
COLUMNA_4_CICRA,-70.097164,-12.569049,267.0,508.2
COLUMNA_4_CICRA,-70.096933,-12.569049,263.0,533.2
COLUMNA_4_CICRA,-70.096703,-12.569049,261.0,558.2
COLUMNA_4_CICRA,-70.096472,-12.569049,261.0,583.2
COLUMNA_4_CICRA,-70.096241,-12.569049,264.0,608.2
COLUMNA_4_CICRA,-70.09601,-12.569049,264.0,633.2
COLUMNA_4_CICRA,-70.09578,-12.569049,269.0,658.2
COLUMNA_4_CICRA,-70.095549,-12.569049,275.0,683.2
COLUMNA_4_CICRA,-70.095318,-12.569049,277.0,708.2
COLUMNA_4_CICRA,-70.095087,-12.569049,277.0,733.2
COLUMNA_4_CICRA,-70.094856,-12.569049,274.0,758.2
COLUMNA_4_CICRA,-70.094626,-12.569049,274.0,783.2
COLUMNA_4_CICRA,-70.094395,-12.569049,272.0,808.2
COLUMNA_4_CICRA,-70.094164,-12.569049,269.0,833.2
COLUMNA_4_CICRA,-70.093933,-12.569049,263.0,858.2
COLUMNA_4_CICRA,-70.093703,-12.569049,258.0,883.2
COLUMNA_4_CICRA,-70.093472,-12.569049,252.0,908.2
COLUMNA_4_CICRA,-70.093241,-12.569049,252.0,933.2
COLUMNA_4_CICRA,-70.09301,-12.569049,244.0,958.2
COLUMNA_4_CICRA,-70.09278,-12.569049,243.0,983.2
COLUMNA_4_CICRA,-70.092549,-12.569049,243.0,1008.2
COLUMNA_4_CICRA,-70.092318,-12.569049,242.0,1033.2
COLUMNA_4_CICRA,-70.092087,-12.569049,242.0,1058.2
COLUMNA_4_CICRA,-70.091857,-12.569049,242.0,1083.2
COLUMNA_4_CICRA,-70.091626,-12.569049,242.0,1108.2
COLUMNA_4_CICRA,-70.091395,-12.569049,241.0,1133.2
COLUMNA_4_CICRA,-70.091164,-12.569049,242.0,1158.2
COLUMNA_4_CICRA,-70.090934,-12.569049,242.0,1183.2
COLUMNA_4_CICRA,-70.090703,-12.569049,242.0,1208.2
COLUMNA_4_CICRA,-70.090472,-12.569049,239.0,1233.2
COLUMNA_4_CICRA,-70.090241,-12.569049,238.0,1258.2
COLUMNA_4_CICRA,-70.090011,-12.569049,239.0,1283.2
COLUMNA_4_CICRA,-70.08978,-12.569049,242.0,1308.2
COLUMNA_4_CICRA,-70.089549,-12.569049,247.0,1333.2
COLUMNA_4_CICRA,-70.089318,-12.569049,247.0,1358.2
COLUMNA_4_CICRA,-70.089088,-12.569049,251.0,1383.2
COLUMNA_4_CICRA,-70.088857,-12.569049,250.0,1408.2
COLUMNA_4_CICRA,-70.088626,-12.569049,249.0,1433.2
COLUMNA_4_CICRA,-70.088395,-12.569049,248.0,1458.2
COLUMNA_4_CICRA,-70.088165,-12.569049,248.0,1483.2
COLUMNA_4_CICRA,-70.087934,-12.569049,248.0,1508.2
COLUMNA_4_CICRA,-70.087703,-12.569049,247.0,1533.2
COLUMNA_4_CICRA,-70.087472,-12.569049,244.0,1558.2
COLUMNA_4_CICRA,-70.087242,-12.569049,241.0,1583.2
COLUMNA_4_CICRA,-70.087011,-12.569049,239.0,1608.2
COLUMNA_4_CICRA,-70.08678,-12.569049,238.0,1633.2
COLUMNA_4_CICRA,-70.086549,-12.569049,238.0,1658.2
COLUMNA_4_CICRA,-70.086319,-12.569049,235.0,1683.2
COLUMNA_4_CICRA,-70.086088,-12.569049,234.0,1708.2
COLUMNA_4_CICRA,-70.085857,-12.569049,236.0,1733.2
COLUMNA_4_CICRA,-70.085626,-12.569049,239.0,1758.2
COLUMNA_4_CICRA,-70.085396,-12.569049,243.0,1783.2
COLUMNA_4_CICRA,-70.085165,-12.569049,243.0,1808.2
COLUMNA_4_CICRA,-70.084934,-12.569049,246.0,1833.2
COLUMNA_4_CICRA,-70.084703,-12.569049,244.0,1858.2
COLUMNA_4_CICRA,-70.084472,-12.569049,239.0,1883.2
COLUMNA_4_CICRA,-70.084242,-12.569049,236.0,1908.2
COLUMNA_4_CICRA,-70.084011,-12.569049,239.0,1933.2
COLUMNA_4_CICRA,-70.08378,-12.569049,239.0,1958.2
COLUMNA_4_CICRA,-70.083549,-12.569049,243.0,1983.2
