Sample,Method,Element,Line,Energy_keV,Intensity_Cnts,Error_int,Relative_Int
JPL61,powder,Pb,Lb3,12.793,11.659,0.551,0.094
JPL61,powder,Pb,Lb4,12.306,8.791,0.415,0.071
JPL61,powder,Pb,Lg1,14.764,23.193,1.095,0.188
JPL61,powder,Pb,Ll,9.184,5.172,0.244,0.042
JPL63,pellet,Pb,La1,10.55,107.244,2.548,1.0
JPL63,pellet,Pb,La2,10.449,11.805,0.28,0.11
JPL63,pellet,Pb,Lb1,12.613,78.69,1.869,0.734
JPL63,pellet,Pb,Lb2,12.621,37.039,0.88,0.345
JPL63,pellet,Pb,Lb3,12.793,10.123,0.24,0.094
JPL63,pellet,Pb,Lb4,12.306,7.633,0.181,0.071
JPL63,pellet,Pb,Lg1,14.764,20.135,0.478,0.188
JPL63,pellet,Pb,Ll,9.184,4.49,0.107,0.042
JPL63,powder,Pb,La1,10.55,116.908,6.069,1.0
JPL63,powder,Pb,La2,10.449,12.871,0.668,0.11
JPL63,powder,Pb,Lb1,12.613,85.61,4.444,0.732
JPL63,powder,Pb,Lb2,12.621,40.296,2.092,0.345
JPL63,powder,Pb,Lb3,12.793,11.012,0.572,0.094
